review_id,hotel_id,rating,review_text,publish_decision,rejection_reasons,flags,tags,sentiment,summary,detected_signals,analyzed_at,model_name,prompt_version
R11,HOTEL_001,4,Excellent hotel with prime location and good amenities,PUBLISH,[],[],['LOCATION'],SENTIMENT_POSITIVE,Excellent hotel with prime location and good amenities,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R12,HOTEL_001,3,"Okay experience, food was average. Tariff was 5200 INR. More details at http://spamlink.com",REJECT,"['PRICE_MENTIONED', 'SPAM_OR_LINK']",[],"['SPAM_SUSPECT', 'RESTAURANT_FOOD', 'PRICE_MENTIONED']",SENTIMENT_NEUTRAL,"Okay experience, food was average. Tariff was 5200 INR. More details at http://spamlink.com","{'price': True, 'phone': False, 'email': False, 'link': True, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R13,HOTEL_001,2,"Food theek tha, nothing great. Call me at 9876543210",REJECT,['CONTACT_INFO_MENTIONED'],[],"['CONTACT_INFO_MENTIONED', 'RESTAURANT_FOOD']",SENTIMENT_POSITIVE,"Food theek tha, nothing great. Call me at 9876543210","{'price': False, 'phone': True, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R14,HOTEL_001,5,Gym and pool were well maintained. Manager Ravi handled the issue,REJECT,['OWNER_MENTIONED'],[],"['AMENITIES', 'OWNER_MENTIONED']",SENTIMENT_NEUTRAL,Gym and pool were well maintained. Manager Ravi handled the issue,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': True}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R15,HOTEL_001,3,"Hotel was okay, nothing special",PUBLISH,[],[],[],SENTIMENT_NEUTRAL,"Hotel was okay, nothing special","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R16,HOTEL_001,3,"Average stay, decent location. Tariff was 5200 INR",REJECT,['PRICE_MENTIONED'],[],"['LOCATION', 'PRICE_MENTIONED']",SENTIMENT_NEUTRAL,"Average stay, decent location. Tariff was 5200 INR","{'price': True, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R17,HOTEL_001,3,Stay was acceptable for one night,PUBLISH,[],[],[],SENTIMENT_NEUTRAL,Stay was acceptable for one night,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R18,HOTEL_001,1,"Not worth it, rooms were smelly",PUBLISH,[],[],['ROOM_QUALITY'],SENTIMENT_NEUTRAL,"Not worth it, rooms were smelly","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R19,HOTEL_001,5,"Very comfortable rooms, will definitely visit again. Cost was ₹4500",REJECT,['PRICE_MENTIONED'],[],"['ROOM_QUALITY', 'PRICE_MENTIONED']",SENTIMENT_NEUTRAL,"Very comfortable rooms, will definitely visit again. Cost was ₹4500","{'price': True, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R20,HOTEL_001,3,Room clean tha but staff thoda slow tha,PUBLISH,[],[],"['SERVICE_STAFF', 'ROOM_QUALITY', 'CLEANLINESS']",SENTIMENT_POSITIVE,Room clean tha but staff thoda slow tha,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R21,HOTEL_001,5,"Amazing service, bathroom was spotless. Price is too high for this hotel",PUBLISH,[],[],"['BATHROOM', 'ROOM_QUALITY']",SENTIMENT_POSITIVE,"Amazing service, bathroom was spotless. Price is too high for this hotel","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R22,HOTEL_001,3,"Hotel was okay, nothing special. Tariff was 5200 INR",REJECT,['PRICE_MENTIONED'],[],['PRICE_MENTIONED'],SENTIMENT_NEUTRAL,"Hotel was okay, nothing special. Tariff was 5200 INR","{'price': True, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R23,HOTEL_001,5,Excellent hotel with prime location and good amenities. Tariff was 5200 INR. Check www.fakehotel.com,REJECT,"['PRICE_MENTIONED', 'SPAM_OR_LINK']",[],"['CHECKIN_CHECKOUT', 'LOCATION', 'SPAM_SUSPECT', 'PRICE_MENTIONED']",SENTIMENT_POSITIVE,Excellent hotel with prime location and good amenities. Tariff was 5200 INR. Check www.fakehotel.com,"{'price': True, 'phone': False, 'email': False, 'link': True, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R24,HOTEL_001,2,"Food theek tha, nothing great",PUBLISH,[],[],['RESTAURANT_FOOD'],SENTIMENT_POSITIVE,"Food theek tha, nothing great","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R25,HOTEL_001,4,Gym and pool were well maintained. More details at http://spamlink.com,REJECT,['SPAM_OR_LINK'],[],"['AMENITIES', 'SPAM_SUSPECT']",SENTIMENT_NEUTRAL,Gym and pool were well maintained. More details at http://spamlink.com,"{'price': False, 'phone': False, 'email': False, 'link': True, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R26,HOTEL_001,2,"Terrible hotel, bathroom smelled bad. Call me at 9876543210",REJECT,['CONTACT_INFO_MENTIONED'],[],"['BATHROOM', 'ROOM_QUALITY', 'CONTACT_INFO_MENTIONED']",SENTIMENT_NEGATIVE,"Terrible hotel, bathroom smelled bad. Call me at 9876543210","{'price': False, 'phone': True, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R27,HOTEL_001,5,Loved the breakfast buffet and staff behavior. Price is too high for this hotel,PUBLISH,[],[],"['SERVICE_STAFF', 'FOOD_BREAKFAST']",SENTIMENT_NEUTRAL,Loved the breakfast buffet and staff behavior. Price is too high for this hotel,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R28,HOTEL_001,1,AC was not working properly,PUBLISH,[],[],[],SENTIMENT_NEUTRAL,AC was not working properly,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R29,HOTEL_001,4,"Amazing service, bathroom was spotless",PUBLISH,[],[],"['BATHROOM', 'ROOM_QUALITY']",SENTIMENT_POSITIVE,"Amazing service, bathroom was spotless","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R30,HOTEL_001,5,"Very comfortable rooms, will definitely visit again",PUBLISH,[],[],['ROOM_QUALITY'],SENTIMENT_NEUTRAL,"Very comfortable rooms, will definitely visit again","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R31,HOTEL_001,3,Rooms were fine but service was slow,PUBLISH,[],[],['ROOM_QUALITY'],SENTIMENT_NEUTRAL,Rooms were fine but service was slow,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R32,HOTEL_001,5,Gym and pool were well maintained. Call me at 9876543210,REJECT,['CONTACT_INFO_MENTIONED'],[],"['AMENITIES', 'CONTACT_INFO_MENTIONED']",SENTIMENT_NEUTRAL,Gym and pool were well maintained. Call me at 9876543210,"{'price': False, 'phone': True, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R33,HOTEL_001,4,Gym and pool were well maintained. Contact: demo@yahoo.com,REJECT,['CONTACT_INFO_MENTIONED'],[],"['AMENITIES', 'CONTACT_INFO_MENTIONED']",SENTIMENT_NEUTRAL,Gym and pool were well maintained. Contact: demo@yahoo.com,"{'price': False, 'phone': False, 'email': True, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R34,HOTEL_001,5,Gym and pool were well maintained,PUBLISH,[],[],['AMENITIES'],SENTIMENT_NEUTRAL,Gym and pool were well maintained,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R35,HOTEL_001,3,"Okay experience, food was average",PUBLISH,[],[],['RESTAURANT_FOOD'],SENTIMENT_NEUTRAL,"Okay experience, food was average","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R36,HOTEL_001,5,"Amazing service, bathroom was spotless. My number is 9123456789. Check www.fakehotel.com",REJECT,"['CONTACT_INFO_MENTIONED', 'SPAM_OR_LINK']",[],"['CONTACT_INFO_MENTIONED', 'ROOM_QUALITY', 'CHECKIN_CHECKOUT', 'BATHROOM', 'SPAM_SUSPECT']",SENTIMENT_POSITIVE,"Amazing service, bathroom was spotless. My number is 9123456789. Check www.fakehotel.com","{'price': False, 'phone': True, 'email': False, 'link': True, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R37,HOTEL_001,4,"Amazing service, bathroom was spotless",PUBLISH,[],[],"['BATHROOM', 'ROOM_QUALITY']",SENTIMENT_POSITIVE,"Amazing service, bathroom was spotless","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R38,HOTEL_001,4,"Very comfortable rooms, will definitely visit again",PUBLISH,[],[],['ROOM_QUALITY'],SENTIMENT_NEUTRAL,"Very comfortable rooms, will definitely visit again","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R39,HOTEL_001,3,Rooms were fine but service was slow. More details at http://spamlink.com,REJECT,['SPAM_OR_LINK'],[],"['ROOM_QUALITY', 'SPAM_SUSPECT']",SENTIMENT_NEUTRAL,Rooms were fine but service was slow. More details at http://spamlink.com,"{'price': False, 'phone': False, 'email': False, 'link': True, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R40,HOTEL_001,3,"Okay experience, food was average. I paid 6000 per night. Call me at 9876543210",REJECT,"['PRICE_MENTIONED', 'CONTACT_INFO_MENTIONED']",[],"['CONTACT_INFO_MENTIONED', 'RESTAURANT_FOOD', 'PRICE_MENTIONED']",SENTIMENT_NEUTRAL,"Okay experience, food was average. I paid 6000 per night. Call me at 9876543210","{'price': True, 'phone': True, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R41,HOTEL_001,4,"Food theek tha, nothing great. Contact: demo@yahoo.com",REJECT,['CONTACT_INFO_MENTIONED'],[],"['CONTACT_INFO_MENTIONED', 'RESTAURANT_FOOD']",SENTIMENT_POSITIVE,"Food theek tha, nothing great. Contact: demo@yahoo.com","{'price': False, 'phone': False, 'email': True, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R42,HOTEL_001,5,Loved the breakfast buffet and staff behavior. Price is too high for this hotel,PUBLISH,[],[],"['SERVICE_STAFF', 'FOOD_BREAKFAST']",SENTIMENT_NEUTRAL,Loved the breakfast buffet and staff behavior. Price is too high for this hotel,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R43,HOTEL_001,3,"Food theek tha, nothing great. Price is too high for this hotel",PUBLISH,[],[],['RESTAURANT_FOOD'],SENTIMENT_POSITIVE,"Food theek tha, nothing great. Price is too high for this hotel","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R44,HOTEL_001,4,"Very comfortable rooms, will definitely visit again. Call me at 9876543210",REJECT,['CONTACT_INFO_MENTIONED'],[],"['ROOM_QUALITY', 'CONTACT_INFO_MENTIONED']",SENTIMENT_NEUTRAL,"Very comfortable rooms, will definitely visit again. Call me at 9876543210","{'price': False, 'phone': True, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R45,HOTEL_001,3,"Average stay, decent location. Check www.fakehotel.com. Owner Mr Sharma was present",REJECT,"['SPAM_OR_LINK', 'OWNER_MENTIONED']",[],"['CHECKIN_CHECKOUT', 'LOCATION', 'OWNER_MENTIONED', 'SPAM_SUSPECT']",SENTIMENT_NEUTRAL,"Average stay, decent location. Check www.fakehotel.com. Owner Mr Sharma was present","{'price': False, 'phone': False, 'email': False, 'link': True, 'abusive': False, 'owner': True}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R46,HOTEL_001,4,"Excellent hotel with prime location and good amenities. Worst service, staff is stupid",REJECT,"['PRICE_MENTIONED', 'ABUSIVE_CONTENT']",[],"['LOCATION', 'SERVICE_STAFF', 'ABUSIVE_CONTENT', 'PRICE_MENTIONED']",SENTIMENT_POSITIVE,"Excellent hotel with prime location and good amenities. Worst service, staff is stupid","{'price': True, 'phone': False, 'email': False, 'link': False, 'abusive': True, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R47,HOTEL_001,2,Location achi hai but noise zyada tha. Price is too high for this hotel,PUBLISH,[],[],"['LOCATION', 'NOISE']",SENTIMENT_NEUTRAL,Location achi hai but noise zyada tha. Price is too high for this hotel,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R48,HOTEL_001,3,Stay was acceptable for one night. Email me at test@gmail.com,REJECT,['CONTACT_INFO_MENTIONED'],[],['CONTACT_INFO_MENTIONED'],SENTIMENT_NEUTRAL,Stay was acceptable for one night. Email me at test@gmail.com,"{'price': False, 'phone': False, 'email': True, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R49,HOTEL_001,1,AC was not working properly. Tariff was 5200 INR. Email me at test@gmail.com,REJECT,"['PRICE_MENTIONED', 'CONTACT_INFO_MENTIONED']",[],"['CONTACT_INFO_MENTIONED', 'PRICE_MENTIONED']",SENTIMENT_NEUTRAL,AC was not working properly. Tariff was 5200 INR. Email me at test@gmail.com,"{'price': True, 'phone': False, 'email': True, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R50,HOTEL_001,1,"Bad experience, too much noise at night",PUBLISH,[],[],['NOISE'],SENTIMENT_NEGATIVE,"Bad experience, too much noise at night","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R51,HOTEL_001,1,Poor maintenance and rude staff,PUBLISH,[],[],"['SERVICE_STAFF', 'MAINTENANCE']",SENTIMENT_NEGATIVE,Poor maintenance and rude staff,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R52,HOTEL_001,1,Poor maintenance and rude staff. Cost was ₹4500. My number is 9123456789,REJECT,"['PRICE_MENTIONED', 'CONTACT_INFO_MENTIONED']",[],"['SERVICE_STAFF', 'CONTACT_INFO_MENTIONED', 'PRICE_MENTIONED', 'MAINTENANCE']",SENTIMENT_NEGATIVE,Poor maintenance and rude staff. Cost was ₹4500. My number is 9123456789,"{'price': True, 'phone': True, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R53,HOTEL_001,3,"Average stay, decent location. I paid 6000 per night. Check www.fakehotel.com",REJECT,"['PRICE_MENTIONED', 'SPAM_OR_LINK']",[],"['CHECKIN_CHECKOUT', 'LOCATION', 'SPAM_SUSPECT', 'PRICE_MENTIONED']",SENTIMENT_NEUTRAL,"Average stay, decent location. I paid 6000 per night. Check www.fakehotel.com","{'price': True, 'phone': False, 'email': False, 'link': True, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R54,HOTEL_001,2,"AC was not working properly. Worst service, staff is stupid",REJECT,"['PRICE_MENTIONED', 'ABUSIVE_CONTENT']",[],"['SERVICE_STAFF', 'ABUSIVE_CONTENT', 'PRICE_MENTIONED']",SENTIMENT_NEGATIVE,"AC was not working properly. Worst service, staff is stupid","{'price': True, 'phone': False, 'email': False, 'link': False, 'abusive': True, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R55,HOTEL_001,2,"Not worth it, rooms were smelly. I paid 6000 per night. Email me at test@gmail.com. Owner Mr Sharma was present",REJECT,"['PRICE_MENTIONED', 'CONTACT_INFO_MENTIONED', 'OWNER_MENTIONED']",[],"['OWNER_MENTIONED', 'ROOM_QUALITY', 'CONTACT_INFO_MENTIONED', 'PRICE_MENTIONED']",SENTIMENT_NEUTRAL,"Not worth it, rooms were smelly. I paid 6000 per night. Email me at test@gmail.com. Owner Mr Sharma was present","{'price': True, 'phone': False, 'email': True, 'link': False, 'abusive': False, 'owner': True}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R56,HOTEL_001,3,"Average stay, decent location",PUBLISH,[],[],['LOCATION'],SENTIMENT_NEUTRAL,"Average stay, decent location","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R57,HOTEL_001,3,Stay was acceptable for one night. I paid 6000 per night,REJECT,['PRICE_MENTIONED'],[],['PRICE_MENTIONED'],SENTIMENT_NEUTRAL,Stay was acceptable for one night. I paid 6000 per night,"{'price': True, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R58,HOTEL_001,5,"Very comfortable rooms, will definitely visit again",PUBLISH,[],[],['ROOM_QUALITY'],SENTIMENT_NEUTRAL,"Very comfortable rooms, will definitely visit again","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R59,HOTEL_001,5,Loved the breakfast buffet and staff behavior. Price is too high for this hotel. Contact: demo@yahoo.com,REJECT,['CONTACT_INFO_MENTIONED'],[],"['SERVICE_STAFF', 'CONTACT_INFO_MENTIONED', 'FOOD_BREAKFAST']",SENTIMENT_NEUTRAL,Loved the breakfast buffet and staff behavior. Price is too high for this hotel. Contact: demo@yahoo.com,"{'price': False, 'phone': False, 'email': True, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R60,HOTEL_001,5,"Great stay, rooms were very clean and staff was polite. Manager Ravi handled the issue",REJECT,['OWNER_MENTIONED'],[],"['OWNER_MENTIONED', 'SERVICE_STAFF', 'ROOM_QUALITY', 'CLEANLINESS']",SENTIMENT_POSITIVE,"Great stay, rooms were very clean and staff was polite. Manager Ravi handled the issue","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': True}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R61,HOTEL_001,3,"Okay experience, food was average. Tariff was 5200 INR",REJECT,['PRICE_MENTIONED'],[],"['RESTAURANT_FOOD', 'PRICE_MENTIONED']",SENTIMENT_NEUTRAL,"Okay experience, food was average. Tariff was 5200 INR","{'price': True, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R62,HOTEL_001,5,Excellent hotel with prime location and good amenities,PUBLISH,[],[],['LOCATION'],SENTIMENT_POSITIVE,Excellent hotel with prime location and good amenities,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R63,HOTEL_001,3,"Hotel was okay, nothing special. My number is 9123456789",REJECT,['CONTACT_INFO_MENTIONED'],[],['CONTACT_INFO_MENTIONED'],SENTIMENT_NEUTRAL,"Hotel was okay, nothing special. My number is 9123456789","{'price': False, 'phone': True, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R64,HOTEL_001,3,"Okay experience, food was average",PUBLISH,[],[],['RESTAURANT_FOOD'],SENTIMENT_NEUTRAL,"Okay experience, food was average","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R65,HOTEL_001,4,Excellent hotel with prime location and good amenities,PUBLISH,[],[],['LOCATION'],SENTIMENT_POSITIVE,Excellent hotel with prime location and good amenities,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R66,HOTEL_001,5,Gym and pool were well maintained. Price is too high for this hotel,PUBLISH,[],[],['AMENITIES'],SENTIMENT_NEUTRAL,Gym and pool were well maintained. Price is too high for this hotel,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R67,HOTEL_001,5,"Amazing service, bathroom was spotless",PUBLISH,[],[],"['BATHROOM', 'ROOM_QUALITY']",SENTIMENT_POSITIVE,"Amazing service, bathroom was spotless","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R68,HOTEL_001,4,Location achi hai but noise zyada tha. My number is 9123456789. This hotel is shit,REJECT,"['CONTACT_INFO_MENTIONED', 'ABUSIVE_CONTENT']",[],"['LOCATION', 'ABUSIVE_CONTENT', 'CONTACT_INFO_MENTIONED', 'NOISE']",SENTIMENT_NEUTRAL,Location achi hai but noise zyada tha. My number is 9123456789. This hotel is shit,"{'price': False, 'phone': True, 'email': False, 'link': False, 'abusive': True, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R69,HOTEL_001,2,"Terrible hotel, bathroom smelled bad",PUBLISH,[],[],"['BATHROOM', 'ROOM_QUALITY']",SENTIMENT_NEGATIVE,"Terrible hotel, bathroom smelled bad","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R70,HOTEL_001,4,Gym and pool were well maintained,PUBLISH,[],[],['AMENITIES'],SENTIMENT_NEUTRAL,Gym and pool were well maintained,"{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
